state,year,indicator,value,source,precision
Negeri Sembilan,2018,domestic_trips_thousand,17540.675,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2019,domestic_trips_thousand,19414.2057,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2020,domestic_trips_thousand,9567.142,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2021,domestic_trips_thousand,6554.829,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2022,domestic_trips_thousand,14278.615,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2023,domestic_trips_thousand,17800.523,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2024,domestic_trips_thousand,21817.0,DTS 2024 state PDF (Table 1),as printed
Negeri Sembilan,2017,avg_receipts_per_capita_rm,404.9341,DTS 2023 state XLSX (Table 1),exact
Negeri Sembilan,2018,avg_receipts_per_capita_rm,377.2851,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2019,avg_receipts_per_capita_rm,381.1933,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2020,avg_receipts_per_capita_rm,282.0225,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2021,avg_receipts_per_capita_rm,221.2119,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2022,avg_receipts_per_capita_rm,317.7802,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2023,avg_receipts_per_capita_rm,319.3483,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2024,avg_receipts_per_capita_rm,330.0,DTS 2024 state PDF (Table 1),as printed
Negeri Sembilan,2017,avg_receipts_per_trip_rm,316.8189,DTS 2023 state XLSX (Table 1),exact
Negeri Sembilan,2018,avg_receipts_per_trip_rm,275.3628,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2019,avg_receipts_per_trip_rm,261.2021,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2020,avg_receipts_per_trip_rm,233.401,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Negeri Sembilan,2021,avg_receipts_per_trip_rm,185.1132,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
