state,year,indicator,value
Pulau Pinang,2020,avg_receipts_per_trip_rm,263.0
Pulau Pinang,2021,avg_receipts_per_trip_rm,225.0
Pulau Pinang,2022,avg_receipts_per_trip_rm,312.0
Pulau Pinang,2023,avg_receipts_per_trip_rm,379.0
Pulau Pinang,2024,avg_receipts_per_trip_rm,387.0
Pulau Pinang,2018,avg_length_of_stay_nights,2.51
Pulau Pinang,2019,avg_length_of_stay_nights,2.5
Pulau Pinang,2020,avg_length_of_stay_nights,2.03
Pulau Pinang,2021,avg_length_of_stay_nights,2.14
Pulau Pinang,2022,avg_length_of_stay_nights,2.59
Pulau Pinang,2023,avg_length_of_stay_nights,2.4
Pulau Pinang,2024,avg_length_of_stay_nights,2.58
Sabah,2018,total_receipts_rm_million,7508.0
Sabah,2019,total_receipts_rm_million,8081.0
Sabah,2020,total_receipts_rm_million,2677.0
Sabah,2021,total_receipts_rm_million,1052.0
Sabah,2022,total_receipts_rm_million,4826.0
Sabah,2023,total_receipts_rm_million,6713.0
Sabah,2024,total_receipts_rm_million,8634.0
Sabah,2018,domestic_visitors_thousand,20360.0
Sabah,2019,domestic_visitors_thousand,22035.0
Sabah,2020,domestic_visitors_thousand,10337.0
Sabah,2021,domestic_visitors_thousand,3815.0
Sabah,2022,domestic_visitors_thousand,12589.0
Sabah,2023,domestic_visitors_thousand,16080.0
Sabah,2024,domestic_visitors_thousand,20592.0
Sabah,2018,domestic_trips_thousand,28299.0
Sabah,2019,domestic_trips_thousand,31438.0
Sabah,2020,domestic_trips_thousand,10861.0
Sabah,2021,domestic_trips_thousand,4006.0
Sabah,2022,domestic_trips_thousand,17255.0
Sabah,2023,domestic_trips_thousand,19900.0
Sabah,2024,domestic_trips_thousand,24106.0
Sabah,2018,avg_receipts_per_capita_rm,369.0
Sabah,2019,avg_receipts_per_capita_rm,367.0
Sabah,2020,avg_receipts_per_capita_rm,259.0
Sabah,2021,avg_receipts_per_capita_rm,276.0
Sabah,2022,avg_receipts_per_capita_rm,383.0
Sabah,2023,avg_receipts_per_capita_rm,417.0
Sabah,2024,avg_receipts_per_capita_rm,419.0
Sabah,2018,avg_receipts_per_trip_rm,265.0
Sabah,2019,avg_receipts_per_trip_rm,257.0
Sabah,2020,avg_receipts_per_trip_rm,246.0
Sabah,2021,avg_receipts_per_trip_rm,263.0
Sabah,2022,avg_receipts_per_trip_rm,280.0
Sabah,2023,avg_receipts_per_trip_rm,337.0
Sabah,2024,avg_receipts_per_trip_rm,358.0
Sabah,2018,avg_length_of_stay_nights,2.68
Sabah,2019,avg_length_of_stay_nights,2.79
Sabah,2020,avg_length_of_stay_nights,1.96
Sabah,2021,avg_length_of_stay_nights,2.31
Sabah,2022,avg_length_of_stay_nights,3.06
Sabah,2023,avg_length_of_stay_nights,2.67
Sabah,2024,avg_length_of_stay_nights,3.01
Sarawak,2018,total_receipts_rm_million,8145.0
Sarawak,2019,total_receipts_rm_million,8671.0
Sarawak,2020,total_receipts_rm_million,3385.0
Sarawak,2021,total_receipts_rm_million,1935.0
Sarawak,2022,total_receipts_rm_million,5431.0
Sarawak,2023,total_receipts_rm_million,6943.0
Sarawak,2024,total_receipts_rm_million,7957.0
Sarawak,2018,domestic_visitors_thousand,19380.0
Sarawak,2019,domestic_visitors_thousand,19793.0
Sarawak,2020,domestic_visitors_thousand,9393.0
Sarawak,2021,domestic_visitors_thousand,6511.0
Sarawak,2022,domestic_visitors_thousand,15465.0
Sarawak,2023,domestic_visitors_thousand,17901.0
Sarawak,2024,domestic_visitors_thousand,19626.0
Sarawak,2018,domestic_trips_thousand,23617.0
Sarawak,2019,domestic_trips_thousand,24880.0
Sarawak,2020,domestic_trips_thousand,11077.0
Sarawak,2021,domestic_trips_thousand,7137.0
Sarawak,2022,domestic_trips_thousand,19291.0
Sarawak,2023,domestic_trips_thousand,21077.0
Sarawak,2024,domestic_trips_thousand,23362.0
Sarawak,2018,avg_receipts_per_capita_rm,420.0
Sarawak,2019,avg_receipts_per_capita_rm,438.0
Sarawak,2020,avg_receipts_per_capita_rm,360.0
Sarawak,2021,avg_receipts_per_capita_rm,297.0
Sarawak,2022,avg_receipts_per_capita_rm,351.0
Sarawak,2023,avg_receipts_per_capita_rm,388.0
Sarawak,2024,avg_receipts_per_capita_rm,405.0
Sarawak,2018,avg_receipts_per_trip_rm,345.0
Sarawak,2019,avg_receipts_per_trip_rm,349.0
Sarawak,2020,avg_receipts_per_trip_rm,306.0
Sarawak,2021,avg_receipts_per_trip_rm,271.0
Sarawak,2022,avg_receipts_per_trip_rm,282.0
Sarawak,2023,avg_receipts_per_trip_rm,329.0
Sarawak,2024,avg_receipts_per_trip_rm,341.0
Sarawak,2018,avg_length_of_stay_nights,3.39
Sarawak,2019,avg_length_of_stay_nights,3.43
Sarawak,2020,avg_length_of_stay_nights,2.55
Sarawak,2021,avg_length_of_stay_nights,3.03
Sarawak,2022,avg_length_of_stay_nights,3.52
Sarawak,2023,avg_length_of_stay_nights,3.48
Sarawak,2024,avg_length_of_stay_nights,3.09
Selangor,2018,total_receipts_rm_million,13189.0
Selangor,2019,total_receipts_rm_million,15544.0
Selangor,2020,total_receipts_rm_million,7051.0
